,Longitude_first,Latitude_first,Longitude_last,Latitude_last,orig_points,dest_points,lines,distance_in_km
163,-113.1,12.3,-128.0,20.2,POINT (-113.1 12.3),POINT (-128 20.2),"LINESTRING (-113.1 12.3, -128 20.2)",1815.26
164,144.8,12.5,138.1,34.5,POINT (144.8 12.5),POINT (138.1 34.5),"LINESTRING (144.8 12.5, 138.1 34.5)",2529.19
165,-48.5,20.0,-30.3,55.1,POINT (-48.5 20),POINT (-30.3 55.1),"LINESTRING (-48.5 20, -30.3 55.1)",4186.57
166,-19.0,13.1,-39.9,45.0,POINT (-19 13.1),POINT (-39.9 45),"LINESTRING (-19 13.1, -39.9 45)",4053.03
167,-80.2,27.3,-77.4,35.4,POINT (-80.2 27.3),POINT (-77.4 35.4),"LINESTRING (-80.2 27.3, -77.4 35.4)",936.65
168,-109.1,16.1,-115.8,29.1,POINT (-109.1 16.1),POINT (-115.8 29.1),"LINESTRING (-109.1 16.1, -115.8 29.1)",1594.99
169,-26.7,13.2,-40.5,31.6,POINT (-26.7 13.2),POINT (-40.5 31.6),"LINESTRING (-26.7 13.2, -40.5 31.6)",2478.62
170,141.1,15.4,117.2,26.5,POINT (141.1 15.4),POINT (117.2 26.5),"LINESTRING (141.1 15.4, 117.2 26.5)",2765.8
171,164.6,14.9,179.2,50.2,POINT (164.6 14.9),POINT (179.2 50.2),"LINESTRING (164.6 14.9, 179.2 50.2)",4131.7
172,-137.4,11.8,-156.5,15.4,POINT (-137.4 11.8),POINT (-156.5 15.4),"LINESTRING (-137.4 11.8, -156.5 15.4)",2104.08
173,-119.7,15.3,-117.2,24.0,POINT (-119.7 15.3),POINT (-117.2 24),"LINESTRING (-119.7 15.3, -117.2 24)",998.06
174,-59.8,13.4,-71.1,35.3,POINT (-59.8 13.4),POINT (-71.1 35.3),"LINESTRING (-59.8 13.4, -71.1 35.3)",2678.28
175,178.8,16.5,176.5,41.7,POINT (178.8 16.5),POINT (176.5 41.7),"LINESTRING (178.8 16.5, 176.5 41.7)",2802.02
176,-59.8,23.2,-36.5,59.0,POINT (-59.8 23.2),POINT (-36.5 59),"LINESTRING (-59.8 23.2, -36.5 59)",4381.42
177,130.0,19.2,118.0,22.1,POINT (130 19.2),POINT (118 22.1),"LINESTRING (130 19.2, 118 22.1)",1290.63
178,129.4,12.9,108.0,22.4,POINT (129.4 12.9),POINT (108 22.4),"LINESTRING (129.4 12.9, 108 22.4)",2498.21
179,144.5,7.4,145.4,27.8,POINT (144.5 7.4),POINT (145.4 27.8),"LINESTRING (144.5 7.4, 145.4 27.8)",2259.98
180,88.5,13.5,83.0,15.4,POINT (88.5 13.5),POINT (83 15.4),"LINESTRING (88.5 13.5, 83 15.4)",629.13
181,-98.4,11.4,-121.2,25.0,POINT (-98.4 11.4),POINT (-121.2 25),"LINESTRING (-98.4 11.4, -121.2 25)",2835.39
182,146.9,10.1,165.5,39.0,POINT (146.9 10.1),POINT (165.5 39),"LINESTRING (146.9 10.1, 165.5 39)",3697.57
183,88.0,12.7,91.9,21.6,POINT (88 12.7),POINT (91.9 21.6),"LINESTRING (88 12.7, 91.9 21.6)",1068.62
184,161.4,12.8,141.4,21.3,POINT (161.4 12.8),POINT (141.4 21.3),"LINESTRING (161.4 12.8, 141.4 21.3)",2324.55
185,-107.3,17.5,-114.7,19.1,POINT (-107.3 17.5),POINT (-114.7 19.1),"LINESTRING (-107.3 17.5, -114.7 19.1)",802.07
186,-80.7,12.5,-93.3,9.1,POINT (-80.7 12.5),POINT (-93.3 9.1),"LINESTRING (-80.7 12.5, -93.3 9.1)",1428.03
187,126.8,9.7,118.7,17.1,POINT (126.8 9.7),POINT (118.7 17.1),"LINESTRING (126.8 9.7, 118.7 17.1)",1199.42
188,87.5,6.5,79.7,10.8,POINT (87.5 6.5),POINT (79.7 10.8),"LINESTRING (87.5 6.5, 79.7 10.8)",981.21
189,91.0,8.5,56.8,9.4,POINT (91 8.5),POINT (56.8 9.4),"LINESTRING (91 8.5, 56.8 9.4)",3760.95
190,129.5,-10.5,124.0,-20.5,POINT (129.5 -10.5),POINT (124 -20.5),"LINESTRING (129.5 -10.5, 124 -20.5)",1253.65
191,116.0,-14.8,122.6,-17.7,POINT (116 -14.8),POINT (122.6 -17.7),"LINESTRING (116 -14.8, 122.6 -17.7)",774.99
192,144.5,6.2,111.4,11.2,POINT (144.5 6.2),POINT (111.4 11.2),"LINESTRING (144.5 6.2, 111.4 11.2)",3681.89
193,137.0,-16.7,138.2,-17.0,POINT (137 -16.7),POINT (138.2 -17),"LINESTRING (137 -16.7, 138.2 -17)",132.12
194,122.0,-13.2,119.2,-22.5,POINT (122 -13.2),POINT (119.2 -22.5),"LINESTRING (122 -13.2, 119.2 -22.5)",1071.14
195,152.0,-13.2,153.8,-28.17,POINT (152 -13.2),POINT (153.8 -28.17),"LINESTRING (152 -13.2, 153.8 -28.17)",1667.93
196,113.2,-10.9,103.1,-18.6,POINT (113.2 -10.9),POINT (103.1 -18.6),"LINESTRING (113.2 -10.9, 103.1 -18.6)",1380.66
197,135.3,-7.6,115.1,-15.8,POINT (135.3 -7.6),POINT (115.1 -15.8),"LINESTRING (135.3 -7.6, 115.1 -15.8)",2379.34
198,143.9,8.6,141.8,22.7,POINT (143.9 8.6),POINT (141.8 22.7),"LINESTRING (143.9 8.6, 141.8 22.7)",1576.37
199,136.5,-7.8,122.2,-13.4,POINT (136.5 -7.8),POINT (122.2 -13.4),"LINESTRING (136.5 -7.8, 122.2 -13.4)",1682.25
200,119.0,13.0,115.7,25.5,POINT (119 13),POINT (115.7 25.5),"LINESTRING (119 13, 115.7 25.5)",1426.33
