,Longitude_first,Latitude_first,Longitude_last,Latitude_last,orig_points,dest_points,lines,distance_in_km
102,136.0,-15.6,138.5,-24.5,POINT (136 -15.6),POINT (138.5 -24.5),"LINESTRING (136 -15.6, 138.5 -24.5)",1019.31
103,-179.7,0.6,-176.9,2.2,POINT (-179.7 0.6),POINT (-176.9 2.2),"LINESTRING (-179.7 0.6, -176.9 2.2)",358.32
104,-170.0,-9.8,171.8,-28.4,POINT (-170 -9.8),POINT (171.8 -28.4),"LINESTRING (-170 -9.8, 171.8 -28.4)",2803.61
105,-173.5,2.0,-173.7,1.0,POINT (-173.5 2),POINT (-173.7 1),"LINESTRING (-173.5 2, -173.7 1)",112.79
106,-75.3,26.6,-42.0,57.0,POINT (-75.3 26.6),POINT (-42 57),"LINESTRING (-75.3 26.6, -42 57)",4282.74
107,-164.4,-13.5,-175.3,-22.3,POINT (-164.4 -13.5),POINT (-175.3 -22.3),"LINESTRING (-164.4 -13.5, -175.3 -22.3)",1509.6
108,78.4,-13.5,73.9,-30.3,POINT (78.4 -13.5),POINT (73.9 -30.3),"LINESTRING (78.4 -13.5, 73.9 -30.3)",1916.97
109,118.5,-13.0,126.0,-28.0,POINT (118.5 -13),POINT (126 -28),"LINESTRING (118.5 -13, 126 -28)",1834.4
110,60.9,-14.3,63.2,-40.1,POINT (60.9 -14.3),POINT (63.2 -40.1),"LINESTRING (60.9 -14.3, 63.2 -40.1)",2867.88
111,94.0,-11.7,85.8,-44.6,POINT (94 -11.7),POINT (85.8 -44.6),"LINESTRING (94 -11.7, 85.8 -44.6)",3729.94
112,153.89,-17.37,158.5,-24.2,POINT (153.89 -17.37),POINT (158.5 -24.2),"LINESTRING (153.89 -17.37, 158.5 -24.2)",895.43
113,169.5,-14.6,160.3,-26.8,POINT (169.5 -14.6),POINT (160.3 -26.8),"LINESTRING (169.5 -14.6, 160.3 -26.8)",1654.65
114,-156.3,-17.2,-150.8,-23.3,POINT (-156.3 -17.2),POINT (-150.8 -23.3),"LINESTRING (-156.3 -17.2, -150.8 -23.3)",886.46
115,137.4,-15.5,141.1,-16.55,POINT (137.4 -15.5),POINT (141.1 -16.55),"LINESTRING (137.4 -15.5, 141.1 -16.55)",412.66
116,87.3,-11.3,83.2,-11.6,POINT (87.3 -11.3),POINT (83.2 -11.6),"LINESTRING (87.3 -11.3, 83.2 -11.6)",448.61
117,72.7,-13.1,84.3,-27.4,POINT (72.7 -13.1),POINT (84.3 -27.4),"LINESTRING (72.7 -13.1, 84.3 -27.4)",1990.98
118,165.2,-14.4,-171.7,-22.4,POINT (165.2 -14.4),POINT (-171.7 -22.4),"LINESTRING (165.2 -14.4, -171.7 -22.4)",2592.43
119,74.2,-11.9,43.4,-5.1,POINT (74.2 -11.9),POINT (43.4 -5.1),"LINESTRING (74.2 -11.9, 43.4 -5.1)",3470.65
